Time,Open,High,Low,Last,Change,%Change,Volume
1/2/13,59.7697,60.2537,59.5815,60.2268,1.8552,3.18%,78881120
1/3/13,60.2268,60.3523,59.7339,59.9131,-0.3137,-0.52%,52850607
1/4/13,59.9311,59.94,59.5726,59.716,-0.1971,-0.33%,37906772
1/7/13,59.5636,59.8325,59.3754,59.7339,0.0179,0.03%,29865129
1/8/13,59.7249,59.8862,59.3037,59.6174,-0.1165,-0.20%,32071913
1/9/13,59.707,60.0027,59.6443,59.8414,0.224,0.38%,28574189
1/10/13,60.2358,60.2895,59.6443,60.1999,0.3585,0.60%,41880005
1/11/13,60.173,60.3075,60.0476,60.2806,0.0807,0.13%,23610390
1/14/13,59.9579,60.182,59.7518,60.0117,-0.2689,-0.45%,41035351
1/15/13,59.716,59.8056,59.4471,59.716,-0.2957,-0.49%,35342597
1/16/13,59.8235,60.1641,59.6891,59.9579,0.2419,0.41%,37744815
1/17/13,60.2089,60.4778,60.1013,60.2447,0.2868,0.48%,35739302
1/18/13,60.0565,60.173,59.8414,60.1103,-0.1344,-0.22%,35695992
1/22/13,60.173,60.2537,59.8056,60.2089,0.0986,0.16%,35842261
1/23/13,60.5494,60.7556,60.4598,60.5763,0.3674,0.61%,35679835
1/24/13,59.7697,60.2985,59.6532,59.7428,-0.8335,-1.38%,47536040
1/25/13,59.949,60.2178,59.8145,60.0476,0.3048,0.51%,43792973
1/28/13,60.0655,60.3881,59.9848,60.182,0.1344,0.22%,36747060
1/29/13,60.1013,60.3254,59.716,60.191,0.009,0.01%,39671165
1/30/13,60.2985,60.4778,59.9311,60.0655,-0.1255,-0.21%,38432997
1/31/13,60.0386,60.3612,59.8773,59.9311,-0.1344,-0.22%,38907741
2/1/13,60.3523,60.7466,60.1103,60.6391,0.708,1.18%,59275350
2/4/13,60.2716,60.4598,59.5636,59.5815,-1.0576,-1.74%,54097160
2/5/13,59.8325,60.648,59.698,60.4598,0.8783,1.47%,39197332
2/6/13,60.2447,60.5405,60.0834,60.2627,-0.1971,-0.33%,48642600
2/7/13,60.3433,60.3792,59.6532,60.3164,0.0537,0.09%,51338509
2/8/13,60.6211,61.0603,60.6122,60.9348,0.6184,1.03%,44459143
2/11/13,60.9617,60.9976,60.7466,60.9528,0.018,0.03%,19693876
2/12/13,60.8721,60.9886,60.6391,60.7018,-0.251,-0.41%,24615611
2/13/13,60.8811,61.1499,60.7287,60.9169,0.2151,0.35%,26217647
2/14/13,60.6391,60.9886,60.6032,60.899,-0.0179,-0.03%,27317017
2/15/13,60.899,61.0424,60.5494,60.7197,-0.1793,-0.29%,28267242
2/19/13,60.8542,61.1768,60.8183,61.1589,0.4392,0.72%,26146340
2/20/13,61.1589,61.1678,60.2089,60.2178,-0.9411,-1.54%,42623138
2/21/13,60.0117,60.0565,59.3575,59.5726,-0.6452,-1.07%,51164713
2/22/13,59.9042,60.182,59.6801,60.173,0.6004,1.01%,24513190
2/25/13,60.5853,60.7735,59.3754,59.4292,-0.7438,-1.24%,45666143
2/26/13,59.5277,59.7608,59.1155,59.6532,0.224,0.38%,46961838
2/27/13,59.6622,60.6301,59.5726,60.2627,0.6095,1.02%,40546825
2/28/13,60.2627,60.7108,60.1282,60.1372,-0.1255,-0.21%,31863495
3/1/13,59.9221,60.4957,59.6353,60.3881,0.2509,0.42%,35278372
3/4/13,60.2178,60.666,60.1103,60.657,0.2689,0.45%,21624305
